order_id,order_date,customer_id,customer_name,customer_segment,region,state,sales_channel,product_id,product_name,category,unit_price,units_sold,discount_pct,cogs_per_unit,freight_cost,revenue,profit
ORD100000,2023-11-16,C006,Reddy Supermart,Enterprise,South,Kerala,Direct,P004_SNA,NovaBay Popcorn 100g,Snacks,33.25,25,0.17,19.7,13.59,689.94,183.85
ORD100001,2022-02-05,C018,Khan General Stores,SME,West,Gujarat,Retail,P004_PER,NovaBay Facewash 100ml,Personal Care,176.55,43,0.12,133.8,55.27,6680.65,871.98
ORD100002,2022-02-16,C023,Bajaj Supermart,Enterprise,East,Bihar,Wholesale,P002_FOO,NovaBay Rice 10kg,Food,123.88,42,0.19,71.19,27.83,4214.4,1196.59
ORD100003,2023-07-16,C020,Pandey Distributors,Distributor,East,Jharkhand,Wholesale,P003_HOM,NovaBay Dishwash 500ml,Home Care,174.72,40,0.25,98.32,26.37,5241.6,1282.43
ORD100004,2022-04-19,C012,Malhotra Stores,Enterprise,West,Gujarat,Retail,P004_BEV,NovaBay Coffee 200g,Beverage,72.74,7,0.21,44.81,30.51,402.25,58.07
ORD100005,2024-08-12,C008,Joshi Brothers,Distributor,South,Karnataka,Retail,P002_BEV,NovaBay Water 500ml,Beverage,68.96,28,0.1,41.15,31.71,1737.79,553.88
ORD100006,2022-12-18,C013,Chopra Distributors,Distributor,North,Uttar Pradesh,Direct,P002_SNA,NovaBay Biscuits 200g,Snacks,38.26,9,0.01,22.58,13.77,340.9,123.91
ORD100007,2022-10-13,C025,Shah Distributors,Distributor,North,Haryana,Retail,P001_FOO,NovaBay Atta 5kg,Food,350.34,24,0.04,220.99,23.58,8071.83,2744.49
ORD100008,2022-07-21,C003,Mehta Retail Chain,Enterprise,East,West Bengal,Wholesale,P003_FOO,NovaBay Dal 1kg,Food,149.6,13,0.22,92.76,36.75,1516.94,274.31
ORD100009,2023-02-15,C047,Bhatt Wholesale,Distributor,East,West Bengal,Retail,P003_SNA,NovaBay Namkeen 150g,Snacks,87.27,50,0.19,49.58,21.53,3534.44,1033.91
